run_idx,party,warmup,offline_ns,offline_ms,online_ns,online_ms,online_rounds,comm_bytes,wall_ns,offline_b1a_alpha_prg_draw_ns,offline_b2a_idpf_gen_mem_ns,offline_b2b_idpf_write_disk_ns,offline_b1b_alpha_shares_ns,offline_b3_q_bool_ns,offline_b4_q_arith_ns,offline_b5_beavers_ns,offline_m1m2_zc_dpf_ns,online_o1_init_mask_prep_ns,online_o2_mask_exchange_ns,online_o3_round_0_ns,online_o4a_middle_idpf_ns,online_o4b_middle_algebra_net_ns,online_o5_last_round_ns,online_o6_vidpf_verify_ns
1,server,True,639333600,639.334,1016151600,1016.152,33,195074,7808198400,6187000,334710000,263993000,12434000,305500,254900,495100,1681000,5381000,3195000,41646000,949875000,15479000,34100,387800
1,client,True,759261200,759.261,1018713200,1018.713,33,195074,7808198400,7625000,412774000,297188000,14924000,284600,229600,466200,1224000,5341000,5873000,41637000,949087000,16101000,278000,220800
2,server,False,561592700,561.593,823708500,823.708,33,195074,7236038300,5978000,306788000,215087000,10063000,446500,472700,726900,1146000,3334000,3244000,28795000,774374000,12834000,768900,194700
2,client,False,573545700,573.546,822613200,822.613,33,195074,7236038300,5886000,320697000,216672000,10406000,210700,162100,356200,839700,3338000,2023000,28847000,784719000,3192000,78900,267300
3,server,False,573640700,573.641,673567400,673.567,33,195074,7046313300,10751000,315795000,215993000,10230000,208800,172800,336400,1778000,3358000,2054000,29029000,621569000,17075000,28000,346400
3,client,False,578720500,578.721,674895200,674.895,33,195074,7046313300,6022000,321192000,215240000,12159000,240400,167300,338400,885200,3342000,3626000,28998000,626729000,11601000,329800,156500
4,server,False,585001700,585.002,658429800,658.430,33,195074,7015776200,10243000,322670000,215978000,9928000,209100,170300,314200,1079000,3264000,4079000,27345000,605210000,18034000,57100,328000
4,client,False,562345700,562.346,656730100,656.730,33,195074,7015776200,5907000,313037000,211060000,9871000,480300,439400,776700,973400,3266000,1925000,27717000,612624000,10138000,819000,136100
5,server,False,590056400,590.056,672062400,672.062,33,195074,7048763800,10814000,321207000,223211000,10540000,211500,416900,680400,1116000,3332000,2247000,28071000,628811000,9171000,176200,139300
5,client,False,569785900,569.786,671861800,671.862,33,195074,7048763800,6251000,320568000,209190000,10440000,489100,399900,658800,855100,3320000,2057000,27929000,626170000,12005000,21000,266800
6,server,False,568420900,568.421,713038200,713.038,33,195074,7104151000,10020000,316965000,205345000,11746000,334100,439600,655800,1379000,3312000,4669000,29554000,649393000,25350000,508700,140100
6,client,False,596248800,596.249,710541900,710.542,33,195074,7104151000,6082000,331448000,225296000,10190000,225200,147300,311200,1062000,3295000,2067000,29496000,667488000,7741000,37300,290700
7,server,False,571740700,571.741,673200500,673.201,33,195074,7037352500,10041000,310366000,220228000,10264000,234500,198000,334700,1489000,3323000,3179000,27605000,618721000,18571000,1552000,140700
7,client,False,579794200,579.794,672342700,672.343,33,195074,7037352500,5689000,323576000,215459000,9858000,475200,409000,646100,931600,3173000,2043000,28147000,627065000,11497000,56800,256500
8,server,False,582091900,582.092,677649900,677.650,33,195074,7042472900,10192000,315894000,217069000,11582000,250600,172000,366900,1006000,3319000,6047000,26746000,624647000,16380000,49500,341600
8,client,False,575169100,575.169,673487500,673.487,33,195074,7042472900,5701000,316741000,223373000,10011000,212000,166300,299600,833000,3185000,1998000,26780000,606285000,33858000,1136000,148500
