run_idx,party,warmup,offline_ns,offline_ms,online_ns,online_ms,online_rounds,comm_bytes,wall_ns,offline_b1a_alpha_prg_draw_ns,offline_b2a_idpf_gen_mem_ns,offline_b2b_idpf_write_disk_ns,offline_b1b_alpha_shares_ns,offline_b3_q_bool_ns,offline_b4_q_arith_ns,offline_b5_beavers_ns,offline_m1m2_zc_dpf_ns,online_o1_init_mask_prep_ns,online_o2_mask_exchange_ns,online_o3_round_0_ns,online_o4a_middle_idpf_ns,online_o4b_middle_algebra_net_ns,online_o5_last_round_ns,online_o6_vidpf_verify_ns
1,server,True,586454900,586.455,688032400,688.032,33,195074,7157834700,6241000,332112000,214143000,11264000,695200,520500,805800,2165000,3205000,1990000,27513000,629779000,25117000,13300,326400
1,client,True,623146900,623.147,690090300,690.090,33,195074,7157834700,5865000,379062000,207850000,10141000,209800,155700,310000,951500,3087000,4417000,27404000,635190000,19354000,377200,153200
2,server,False,586982700,586.983,712594500,712.595,33,195074,7092928200,9836000,331986000,210886000,10093000,216800,930500,1966000,996600,3245000,2078000,30048000,662020000,12729000,2232000,137100
2,client,False,579381500,579.381,713713800,713.714,33,195074,7092928200,6317000,334406000,203606000,9855000,416100,417500,669200,947400,3361000,3571000,29393000,647913000,28987000,46500,329000
3,server,False,590708400,590.708,705453500,705.453,33,195074,7098198200,9784000,337419000,210657000,9860000,217100,158600,339600,922100,3103000,2064000,30646000,651797000,17388000,192200,156000
3,client,False,586321000,586.321,707581000,707.581,33,195074,7098198200,5792000,337773000,208169000,9882000,210400,161500,306700,1041000,3325000,4079000,30698000,643408000,25743000,17300,207800
4,server,False,573017700,573.018,712040900,712.041,33,195074,7092581700,8635000,322595000,206853000,10351000,339600,479900,715900,1127000,3472000,3428000,30072000,661772000,12832000,16000,330100
4,client,False,590629400,590.629,710614100,710.614,33,195074,7092581700,6324000,344284000,208214000,10778000,228500,290400,755600,886500,3425000,2015000,30016000,658182000,16533000,172600,147100
5,server,False,592756900,592.757,690706100,690.706,33,195074,7056362900,9044000,334585000,219969000,9992000,212300,161400,329800,962600,3602000,3989000,29237000,634060000,18017000,1565000,136100
5,client,False,563268200,563.268,688908500,688.909,33,195074,7056362900,6119000,323534000,204900000,9922000,187900,174600,349300,829000,3462000,2138000,29228000,639021000,14564000,45200,336600
6,server,False,580705100,580.705,703722400,703.722,33,195074,7081076900,10578000,329928000,207514000,9956000,963400,455900,673100,998400,3358000,3471000,27607000,647234000,21533000,266800,145200
6,client,False,584769400,584.769,702941200,702.941,33,195074,7081076900,6446000,331066000,214034000,9973000,189900,154900,408900,1698000,3355000,2050000,28217000,643022000,25904000,18700,289500
7,server,False,573245300,573.245,694033300,694.033,33,195074,7106364600,10061000,321502000,208893000,12756000,221400,265100,427000,1133000,3157000,3686000,27880000,635865000,22889000,303200,145500
7,client,False,586768000,586.768,692776100,692.776,33,195074,7106364600,6278000,343058000,205490000,10108000,208600,150000,338800,925600,3318000,2081000,27775000,642779000,16377000,18900,334700
8,server,False,583019100,583.019,739481600,739.482,33,195074,7116823500,11592000,323730000,213905000,10257000,211700,160800,453900,2433000,3138000,4621000,28939000,669457000,29613000,3466000,137700
8,client,False,583775000,583.775,738536200,738.536,33,195074,7116823500,6610000,342038000,206335000,9817000,198400,158400,325800,838100,4617000,1943000,28990000,673008000,29505000,39800,333900
9,server,False,577126500,577.126,701873000,701.873,33,195074,7061742800,10486000,327871000,208197000,10294000,206800,166700,378800,1162000,3232000,5455000,27672000,646806000,18085000,371200,143100
9,client,False,568330100,568.330,699963100,699.963,33,195074,7061742800,6289000,329511000,203413000,9857000,190500,153800,299000,912800,4378000,1976000,27974000,633797000,31391000,20400,332200
10,server,False,587054700,587.055,712329400,712.329,33,195074,7123880300,9334000,334404000,212392000,9965000,216200,183900,580400,2720000,3087000,3756000,30687000,647873000,25625000,1054000,138300
10,client,False,605452700,605.453,711040200,711.040,33,195074,7123880300,6186000,351130000,216875000,10072000,209600,207300,315600,886600,3278000,2101000,30971000,651272000,22948000,45900,323400
11,server,False,585266800,585.267,699699700,699.700,33,195074,7128616500,11003000,331118000,211167000,10638000,695500,492600,356600,1543000,5654000,3721000,27688000,641550000,20454000,356300,145700
11,client,False,632053000,632.053,696169200,696.169,33,195074,7128616500,6188000,389021000,202492000,9898000,507300,875500,711500,844300,3396000,2043000,27996000,640651000,21730000,25200,223600
12,server,False,585378800,585.379,699950800,699.951,33,195074,7086226800,10808000,330524000,206082000,9931000,215800,153400,300500,1208000,4667000,2023000,28125000,645866000,17910000,1118000,133400
