run_idx,party,warmup,offline_ns,offline_ms,online_ns,online_ms,online_rounds,comm_bytes,wall_ns
1,server,True,573045500,573.045,651834900,651.835,33,195074,7022175800
1,client,True,574828400,574.828,653066200,653.066,33,195074,7022175800
2,server,False,598649600,598.650,658170800,658.171,33,195074,7097094700
2,client,False,601088600,601.089,670597700,670.598,33,195074,7097094700
3,server,False,617863900,617.864,665790600,665.791,33,195074,7109135600
3,client,False,609572000,609.572,663937200,663.937,33,195074,7109135600
4,server,False,580450100,580.450,668920200,668.920,33,195074,7265958900
4,client,False,772542300,772.542,685771300,685.771,33,195074,7265958900
5,server,False,576491300,576.491,671534800,671.535,33,195074,7056977400
5,client,False,593384700,593.385,670057100,670.057,33,195074,7056977400
6,server,False,576392800,576.393,658009400,658.009,33,195074,7079924800
6,client,False,613548600,613.549,657953400,657.953,33,195074,7079924800
7,server,False,586727500,586.727,660789300,660.789,33,195074,7061257600
7,client,False,583573900,583.574,663161200,663.161,33,195074,7061257600
8,server,False,579564600,579.565,654773300,654.773,33,195074,7051753700
8,client,False,584206700,584.207,655388000,655.388,33,195074,7051753700
9,server,False,596430800,596.431,660353700,660.354,33,195074,7067140700
9,client,False,590307600,590.308,658741900,658.742,33,195074,7067140700
10,server,False,573985800,573.986,663108900,663.109,33,195074,7046287400
10,client,False,583655400,583.655,663029500,663.029,33,195074,7046287400
11,server,False,593920100,593.920,692364900,692.365,33,195074,7117272800
11,client,False,609301200,609.301,694828600,694.829,33,195074,7117272800
12,server,False,580979200,580.979,676792600,676.793,33,195074,7098227300
12,client,False,615175100,615.175,673860900,673.861,33,195074,7098227300
13,server,False,590890700,590.891,687119600,687.120,33,195074,7113823200
13,client,False,605885900,605.886,687674600,687.675,33,195074,7113823200
14,server,False,599385000,599.385,671079500,671.080,33,195074,7133065500
14,client,False,635048200,635.048,671612800,671.613,33,195074,7133065500
15,server,False,585200000,585.200,707470700,707.471,33,195074,7134581600
15,client,False,622903900,622.904,706997600,706.998,33,195074,7134581600
16,server,False,601608100,601.608,694536500,694.537,33,195074,7132251000
16,client,False,607679300,607.679,693810100,693.810,33,195074,7132251000
17,server,False,750562600,750.563,671062700,671.063,33,195074,7260254500
17,client,False,614485400,614.485,672292900,672.293,33,195074,7260254500
18,server,False,601931300,601.931,655630800,655.631,33,195074,7080539700
18,client,False,596953200,596.953,657187700,657.188,33,195074,7080539700
19,server,False,582988800,582.989,685215300,685.215,33,195074,7127767700
19,client,False,609400600,609.401,703460300,703.460,33,195074,7127767700
20,server,False,577184100,577.184,692851800,692.852,33,195074,7130773900
20,client,False,639117600,639.118,690499400,690.499,33,195074,7130773900
21,server,False,663543400,663.543,727075000,727.075,33,195074,7240020700
21,client,False,611570100,611.570,725120900,725.121,33,195074,7240020700
22,server,False,569014300,569.014,674405100,674.405,33,195074,7088668400
22,client,False,621084100,621.084,671549400,671.549,33,195074,7088668400
23,server,False,606754300,606.754,662252200,662.252,33,195074,7108666500
23,client,False,599098800,599.099,661461800,661.462,33,195074,7108666500
24,server,False,610973000,610.973,661929900,661.930,33,195074,7113734900
24,client,False,601752600,601.753,661658500,661.659,33,195074,7113734900
25,server,False,587139700,587.140,660224600,660.225,33,195074,7076009800
25,client,False,591539800,591.540,660370700,660.371,33,195074,7076009800
26,server,False,595062900,595.063,656847500,656.847,33,195074,7052875900
26,client,False,583514600,583.515,656392800,656.393,33,195074,7052875900
27,server,False,581137900,581.138,697236600,697.237,33,195074,7078193600
27,client,False,579040200,579.040,688150500,688.150,33,195074,7078193600
28,server,False,587830100,587.830,670397300,670.397,33,195074,7064630500
28,client,False,584491100,584.491,669438900,669.439,33,195074,7064630500
29,server,False,623694200,623.694,678655300,678.655,33,195074,7311416800
29,client,False,759982600,759.983,693749300,693.749,33,195074,7311416800
30,server,False,596779700,596.780,672377400,672.377,33,195074,7096501900
30,client,False,610963300,610.963,672754600,672.755,33,195074,7096501900
31,server,False,587357000,587.357,664475800,664.476,33,195074,7083751500
31,client,False,613576700,613.577,663701300,663.701,33,195074,7083751500
32,server,False,584756700,584.757,710235900,710.236,33,195074,7128705400
32,client,False,599963900,599.964,705668300,705.668,33,195074,7128705400
33,server,False,615056100,615.056,687307900,687.308,33,195074,7111965700
33,client,False,583507500,583.508,688141800,688.142,33,195074,7111965700
34,server,False,601530700,601.531,658020200,658.020,33,195074,7094518100
34,client,False,601458800,601.459,660012300,660.012,33,195074,7094518100
35,server,False,576400900,576.401,686980500,686.981,33,195074,7079742400
35,client,False,596133300,596.133,689436400,689.436,33,195074,7079742400
36,server,False,595290200,595.290,682975000,682.975,33,195074,7113219400
36,client,False,610308200,610.308,684094000,684.094,33,195074,7113219400
37,server,False,571360400,571.360,670262500,670.263,33,195074,7072519200
37,client,False,592355000,592.355,687337300,687.337,33,195074,7072519200
38,server,False,617445500,617.446,653305800,653.306,33,195074,7086794900
38,client,False,589724400,589.724,653118600,653.119,33,195074,7086794900
39,server,False,582394500,582.394,674510100,674.510,33,195074,7116737300
39,client,False,625707900,625.708,676453600,676.454,33,195074,7116737300
40,server,False,612947700,612.948,664474300,664.474,33,195074,7088383400
40,client,False,586992900,586.993,664845700,664.846,33,195074,7088383400
41,server,False,579121800,579.122,648892100,648.892,33,195074,7049814900
41,client,False,594600200,594.600,649303500,649.303,33,195074,7049814900
42,server,False,582476300,582.476,690967700,690.968,33,195074,7079878600
42,client,False,583111200,583.111,687882500,687.883,33,195074,7079878600
43,server,False,600015600,600.016,669066200,669.066,33,195074,7077619000
43,client,False,596030800,596.031,667000500,667.000,33,195074,7077619000
44,server,False,587505900,587.506,684374400,684.374,33,195074,7062061800
44,client,False,575579200,575.579,679126700,679.127,33,195074,7062061800
45,server,False,581196500,581.197,667873400,667.873,33,195074,7086131500
45,client,False,611193400,611.193,684988000,684.988,33,195074,7086131500
46,server,False,580239700,580.240,662803300,662.803,33,195074,7050058400
46,client,False,582343700,582.344,661976700,661.977,33,195074,7050058400
47,server,False,590511900,590.512,671537000,671.537,33,195074,7069568300
47,client,False,584660000,584.660,671434900,671.435,33,195074,7069568300
48,server,False,574156100,574.156,660517300,660.517,33,195074,7037790400
48,client,False,580588900,580.589,658604000,658.604,33,195074,7037790400
49,server,False,591964300,591.964,660751600,660.752,33,195074,7079215300
49,client,False,601629000,601.629,658521600,658.522,33,195074,7079215300
50,server,False,623344400,623.344,667792900,667.793,33,195074,7105786000
50,client,False,600949500,600.949,667417100,667.417,33,195074,7105786000
51,server,False,602199500,602.199,646893400,646.893,33,195074,7078820900
51,client,False,600155500,600.155,646942600,646.943,33,195074,7078820900
52,server,False,598303200,598.303,668059800,668.060,33,195074,7092005000
52,client,False,607926100,607.926,668105400,668.105,33,195074,7092005000
53,server,False,585519500,585.519,685420600,685.421,33,195074,7085734400
53,client,False,594232300,594.232,684868100,684.868,33,195074,7085734400
54,server,False,761834700,761.835,682050200,682.050,33,195074,7243642000
54,client,False,582850800,582.851,681205000,681.205,33,195074,7243642000
55,server,False,587391200,587.391,662121500,662.121,33,195074,7046163300
55,client,False,577071100,577.071,659975300,659.975,33,195074,7046163300
56,server,False,592685900,592.686,681390200,681.390,33,195074,7078246400
56,client,False,587664700,587.665,663120900,663.121,33,195074,7078246400
57,server,False,583535900,583.536,663290300,663.290,33,195074,7079369700
57,client,False,607013800,607.014,663206700,663.207,33,195074,7079369700
58,server,False,581166500,581.167,668632100,668.632,33,195074,7074633200
58,client,False,593358200,593.358,668575000,668.575,33,195074,7074633200
59,server,False,602669000,602.669,682897700,682.898,33,195074,7093182200
59,client,False,593157900,593.158,680725200,680.725,33,195074,7093182200
60,server,False,590835700,590.836,683034500,683.034,33,195074,7126116800
60,client,False,632365300,632.365,683478900,683.479,33,195074,7126116800
61,server,False,571116900,571.117,650601400,650.601,33,195074,7112687100
61,client,False,669772300,669.772,651273400,651.273,33,195074,7112687100
62,server,False,563207300,563.207,649526700,649.527,33,195074,7016237300
62,client,False,579366500,579.366,649807100,649.807,33,195074,7016237300
63,server,False,585673500,585.673,674326900,674.327,33,195074,7065469600
63,client,False,586452400,586.452,674120900,674.121,33,195074,7065469600
64,server,False,573464600,573.465,641080700,641.081,33,195074,7032910800
64,client,False,600425700,600.426,641894700,641.895,33,195074,7032910800
